Is the device still being manufactured?,Device Specific,Manufacturer,Link to the website. Manufacture's website., Price per Item ,Link to the website. Manufacture's website wherever possible (amazon only if you cannot find it anywhere else), Are classroom sets avaiable?  ,"If so, what is the size of the set? (Must be numerical or N/A)","If so, what is the price of the set?",What is the max number of users that can use 1 device? (Must be numerical. 25 will mean there is no max),This comlumn is AUTOMATICALLY calculated based on the columns E & J. It represents a class size of 25 students divided by the number of students who can use each device. Forumula: (price per item) * (25 / set size). ,Does the device rely on AUDITORY cues for interations and functionality? ,Does the device rely on VISUAL cues for interations and functionality? ,Is the device rechargeable?,Does the device need batteries?,"Does it need an ipad, Internet connectivity, laptop running windows?",What is the minimum age recommended for the product?,What is the minimum grade level recommended for the product?,"Brief descritption of the device. Can be taken directly from the manufacter or purchase website, or written yourself."
Discontinued,Name,Manufacturer,Manfacturer Website, Price ,Purchase Website,Set Available,Set size,Price per Set,Max Users,Price per Classroom Set,Auditory Accessibility,Visual Accessibility,Rechargeable,Batteries,Device Required,Min Age,Min Grade Level,Description
,BeeBots,Terrapin,https://www.terrapinlogo.com/,$99.95 ,https://www.terrapinlogo.com/beebot-ss.html,Yes,6,$585.00,1,$99.95,No,No,Yes,Yes,Yes,3,PK,"The Bee-Bot SS is a child-friendly robot designed to introduce young learners to coding and programming concepts. With its user-friendly interface and bright, colorful design, Bee-Bot SS captivates children's attention and encourages interactive learning. It offers a hands-on and engaging experience as children navigate the robot through a sequence of commands, developing their problem-solving and critical thinking skills in the process."
,Code Gamer,Thames & Kosmos,https://thamesandkosmos.com/,$49.95 ,https://www.amazon.com/Thames-Kosmos-Workshop-Android-Compatible/dp/B01CNT3EGM,No,N/A,N/A,3,$416.25,Yes,No,No,Yes,Yes,8,3,"The Thames & Kosmos Robotics Workshop is an educational robot kit that provides an immersive learning experience for children. It allows young learners to build and program their own robots using a variety of sensors and motors. With its Android-compatible interface, the kit offers a hands-on approach to teach coding and robotics concepts, fostering creativity and problem-solving skills in children."
,Code-a-pillar Twist,Mattel,https://shop.mattel.com/,$62.00 ,https://www.amazon.com/Fisher-Price-Think-Learn-Code-a-Pillar-Twist/dp/B07MLXX9NN/ref=dp_fod_sccl_1/141-9914091-8196745?pd_rd_w=2x8AR&content-id=amzn1.sym.68ccd7c0-3652-4a0a-a8b0-b05dfda3f963&pf_rd_p=68ccd7c0-3652-4a0a-a8b0-b05dfda3f963&pf_rd_r=904Y02TPZHWKEZ5WGW0J&pd_rd_wg=DxPDd&pd_rd_r=095cb935-60c6-4c24-ae1a-6d15e2bfbd8b&pd_rd_i=B07MLXX9NN&psc=1,No,N/A,N/A,1,Min age,Yes,No,No,Yes,No,3,PK,"The Fisher-Price Think & Learn Code-a-Pillar Twist is an interactive learning toy designed to introduce young children to coding concepts. It features a motorized caterpillar head and detachable segments that can be rearranged to create different movement patterns. With its twistable segments and easy-to-use interface, children can experiment with problem-solving and sequencing skills as they program the Code-a-Pillar to navigate obstacles and complete challenges."
,Coding Express,Robobloq,https://www.robobloq.com/,$99.00 ,https://shop.robobloq.com/collections/early-educational-kit/products/robobloq-coding-express,No,N/A,N/A,1,"$2,475.00",Yes,No,No,Yes,No,3,PK,"The Robobloq Coding Express is an educational robot kit designed for young children to learn coding and STEAM concepts. It includes a programmable robot train and interactive building blocks that can be easily assembled. With its user-friendly coding interface and colorful blocks, children can explore programming logic, problem-solving, and creativity as they guide the Coding Express through various activities and challenges."
,Cody Block,Qubs Toys,https://qubs.toys/?v=cf31394fdfa1,$240.00 ,https://qubs.toys/cody-block/?v=cf31394fdfa1,Yes,10,"$1,989.00",1,"$6,000.00",Yes,No,No,No,No,4,PK,"The Cody Block robot is a versatile and interactive educational tool designed for children to learn coding and computational thinking skills. It features a programmable robot and a set of colorful coding blocks that allow kids to create their own sequences and commands. With its engaging and hands-on approach, Cody Block helps young learners develop problem-solving abilities, logical thinking, and creativity in a playful and accessible way."
,Cubetto Classic,Primo,https://www.primotoys.com/,$225.00,https://www.primotoys.com/shop/cubetto-playset/,Yes,4,"$1,260.80",3,"$1,875.00",Yes,No,No,Yes,No,3,PK,"The Cubetto Playset is a screenless coding robot designed for young children aged 3 and up. It introduces the fundamentals of programming through hands-on play and exploration. With a friendly wooden robot and a programming board, children can create their own coding sequences by placing colorful blocks on the board, allowing them to develop problem-solving skills and logical thinking in a screen-free and intuitive way."
,Edison V2.0 Robot,Edison,https://meetedison.com/,$59.00,https://meetedison.com/shop/,Yes,10,$419.00,1,"$1,475.00",Yes,No,No,Yes,No,4,PK,"The Edison Robot is a versatile and affordable educational robot suitable for students of all ages. It comes with built-in sensors, motors, and programmable features that allow users to engage in hands-on coding and robotics projects. With its user-friendly programming interface and compatibility with various programming languages, Edison offers an accessible and engaging way to explore the world of robotics and coding."
,Finch 2.0,BirdBrain,https://www.birdbraintechnologies.com/,$149.00,https://store.birdbraintechnologies.com/products/finch2,Yes,5,$799.00,2,"$1,862.50",Yes,Yes,Yes,No,Yes,8,3,"The Finch 2.0 is a programmable robot designed for educational purposes, offering a wide range of interactive features and capabilities. It includes various sensors and actuators, allowing users to engage in hands-on coding and robotics projects. With its compatibility with multiple programming languages and a user-friendly programming interface, the Finch 2.0 provides an accessible and engaging platform for learning about robotics and coding concepts."
,Hummingbird,BirdBrain,https://www.birdbraintechnologies.com/,$219.00,https://store.birdbraintechnologies.com/collections/hummingbird-bit/products/hummingbird-bit-premium-kit,Yes,4,$875.00,3,"$1,825.00",No,No,No,No,Yes,13,6,"The Hummingbird Bit Premium Kit is an educational robotics kit that enables students to create and program their own interactive projects. It includes a variety of sensors, motors, and LEDs that can be connected to craft materials, allowing for creative and customizable designs. With its compatibility with popular programming environments and its emphasis on creativity and hands-on learning, the Hummingbird Bit Premium Kit provides an engaging and accessible introduction to robotics and electronics for students of various ages."
,Root rt0,iRobot,https://edu.irobot.com/shop,$129.99,https://www.irobot.com/en_US/irobot-root-rt0/RT00020.html,Yes,6,"$1,499.00",1,"$3,249.75",Yes,No,Yes,No,Yes,6,K,"The iRobot Root rt0 is a coding robot designed to teach coding and computational thinking to students. It features a graphical coding interface that allows users to program the robot's movements, lights, and sensors. With its interactive capabilities and expandable functionality, the Root rt0 offers an engaging and versatile learning experience. Whether it's navigating mazes, playing music, or solving puzzles, this robot provides an accessible and hands-on introduction to coding concepts for students of different ages and skill levels."
,Disney Frozen 2 Coding Kit,Kano,https://kano.tech/us,$12.89,https://www.amazon.com/Kano-Disney-Frozen-Coding-Kit/dp/B07R3G49N8,No,N/A,N/A,1,$322.25,Yes,Yes,No,Yes,Yes,6,K,"The Kano Disney Frozen Coding Kit is a creative and interactive coding experience for children. It allows kids to build and code their own Disney Frozen-themed adventures using block-based coding. With the help of the included sensors and accessories, they can bring characters to life, create music, and explore the magical world of Frozen while learning important coding concepts. The kit offers a visually appealing and accessible way for young learners to engage with coding and storytelling in a fun and imaginative manner."
,KIBO 21 Kit,KinderLab Robotics,https://kinderlabrobotics.com/,$655.00,https://kinderlabrobotics.com/products/kibo-21-kit/,Yes,2,"$2,495.00",3,"$5,458.33",Yes,Yes,No,Yes,No,4,PK,"The KIBO 21 Kit by KinderLab Robotics is a screen-free coding and robotics kit designed for young children. With KIBO, kids can build, program, and bring their own robot to life using wooden blocks and a simple programming interface. The kit encourages creativity, problem-solving, and early computational thinking skills in a hands-on and accessible way. It is an engaging educational tool that allows children to explore the basics of coding and robotics while fostering their imagination and building confidence in technology."
,Logical Think Skill Up Set,KUMIITA ,https://kumiita.com/eng/,$630.00,https://www.amazon.com/dp/B07YKCBK3B,No,N/A,N/A,3,"$5,250.00",Yes,No,No,No,No,3,PK,"The KUMIITA Logical Think Skill up Set is a problem-solving STEM coding toy designed to develop logical thinking skills in children. It consists of a unit and 40 panels that can be connected in various ways to create different challenges and puzzles. The set promotes hands-on learning and encourages children to think critically and solve problems through coding concepts. It is suitable for children interested in STEM education and coding, providing an engaging and educational play experience."
Yes,Mindstorms EV3,LEGO,https://www.lego.com/en-us,$839.00,https://www.amazon.com/Lego-Mindstorm-Ev3-Core-45544/dp/B00DEA55Z8,No,N/A,N/A,2,"$10,487.50",Yes,No,No,Yes,Yes,10,5,"The LEGO Mindstorms EV3 Core Set (45544) is a robotics kit that allows users to build and program their own robots using LEGO bricks and a programmable EV3 intelligent brick. It includes motors, sensors, and a range of LEGO Technic elements for building versatile robotic creations. The EV3 Core Set is designed for hands-on learning and provides an introduction to robotics, coding, and engineering principles. It is suitable for children and adults interested in robotics and STEM education."
,Robot inventor,LEGO,https://www.lego.com/en-us,$359.99,https://www.lego.com/en-us/product/robot-inventor-51515,No,N/A,N/A,1,"$8,999.75",Yes,No,Yes,Yes,Yes,10,5,"The LEGO Robot Inventor is a robotics kit that allows users to build and program their own robots using LEGO bricks and a programmable hub. It offers five unique models that can be constructed, including a humanoid robot, a guitar, and a vehicle. The kit comes with motors, sensors, and a variety of LEGO Technic elements to facilitate creativity and customization. With the accompanying app, users can code their robots and control them remotely. The LEGO Robot Inventor is designed for both beginners and experienced builders, promoting STEM learning and hands-on exploration."
,Robotics Kit,Mochi,https://learnwithmochi.com/robotics,$263.00,https://robotics.learnwithmochi.com/collections,No,N/A,N/A,2,"$3,287.50",Yes,Yes,No,Yes,No,3,PK,"Mochi Robotics offers a range of educational coding robots designed to engage young learners in STEAM (Science, Technology, Engineering, Arts, and Mathematics) activities. These robots, such as the Mochi Kit and Mochi Classroom Set, provide hands-on coding experiences for children aged 3 and up. With interactive storytelling, games, and coding challenges, Mochi robots encourage creativity, problem-solving, and critical thinking skills. The robots are designed to be accessible and engaging for all learners, fostering a love for learning and exploration in the fields of robotics and coding."
